year,exporter_country_code,importer_country_code,hs_product_code,hs_chapter,hs_description,trade_value_1000usd,trade_value_usd,quantity_metric_tons
1995,484,699,854280,8542,Electronic Integrated Circuits (ICs / Chips),0.738,738.0,0.156
1995,490,699,854280,8542,Electronic Integrated Circuits (ICs / Chips),2399.923,2399923.0,636.082
1995,528,699,854280,8542,Electronic Integrated Circuits (ICs / Chips),18.527,18527.0,1.68
1995,579,699,854280,8542,Electronic Integrated Circuits (ICs / Chips),5.655,5655.0,0.303
1995,608,699,854280,8542,Electronic Integrated Circuits (ICs / Chips),35.109,35109.0,30.034
1995,642,699,854280,8542,Electronic Integrated Circuits (ICs / Chips),1.0,1000.0,0.013
1995,682,699,854280,8542,Electronic Integrated Circuits (ICs / Chips),5.205,5205.0,13.333
1995,702,699,854280,8542,Electronic Integrated Circuits (ICs / Chips),7145.957,7145957.0,1712.933
1995,711,699,854280,8542,Electronic Integrated Circuits (ICs / Chips),1.403,1403.0,0.025
1995,724,699,854280,8542,Electronic Integrated Circuits (ICs / Chips),16.615,16615.0,0.008
1995,752,699,854280,8542,Electronic Integrated Circuits (ICs / Chips),113.11,113110.0,2.992
1995,757,699,854280,8542,Electronic Integrated Circuits (ICs / Chips),124.805,124805.0,2.742
1995,764,699,854280,8542,Electronic Integrated Circuits (ICs / Chips),52.878,52878.0,26.764
1995,784,699,854280,8542,Electronic Integrated Circuits (ICs / Chips),6850.109,6850109.0,13.487
1995,826,699,854280,8542,Electronic Integrated Circuits (ICs / Chips),1192.034,1192034.0,3.187
1995,842,699,854280,8542,Electronic Integrated Circuits (ICs / Chips),11590.952,11590952.0,933.993
1995,36,699,854290,8542,Electronic Integrated Circuits (ICs / Chips),24.822,24822.0,0.608
1995,40,699,854290,8542,Electronic Integrated Circuits (ICs / Chips),2.48,2480.0,
1995,58,699,854290,8542,Electronic Integrated Circuits (ICs / Chips),13.979,13979.0,0.828
1995,76,699,854290,8542,Electronic Integrated Circuits (ICs / Chips),2.127,2127.0,0.199
1995,156,699,854290,8542,Electronic Integrated Circuits (ICs / Chips),196.715,196715.0,8.625
1995,203,699,854290,8542,Electronic Integrated Circuits (ICs / Chips),46.09,46090.0,0.265
1995,208,699,854290,8542,Electronic Integrated Circuits (ICs / Chips),16.766,16766.0,0.675
1995,251,699,854290,8542,Electronic Integrated Circuits (ICs / Chips),136.248,136248.0,0.898
1995,276,699,854290,8542,Electronic Integrated Circuits (ICs / Chips),1783.883,1783883.0,8.589
1995,344,699,854290,8542,Electronic Integrated Circuits (ICs / Chips),404.955,404955.0,19.093
1995,348,699,854290,8542,Electronic Integrated Circuits (ICs / Chips),8.531,8531.0,0.398
1995,376,699,854290,8542,Electronic Integrated Circuits (ICs / Chips),1.966,1966.0,0.101
1995,380,699,854290,8542,Electronic Integrated Circuits (ICs / Chips),111.069,111069.0,3.248
1995,392,699,854290,8542,Electronic Integrated Circuits (ICs / Chips),715.297,715297.0,7.917
1995,410,699,854290,8542,Electronic Integrated Circuits (ICs / Chips),368.12,368120.0,8.988
1995,458,699,854290,8542,Electronic Integrated Circuits (ICs / Chips),1874.122,1874122.0,49.988
1995,480,699,854290,8542,Electronic Integrated Circuits (ICs / Chips),18.023,18023.0,0.04
1995,490,699,854290,8542,Electronic Integrated Circuits (ICs / Chips),283.001,283001.0,12.062
1995,528,699,854290,8542,Electronic Integrated Circuits (ICs / Chips),99.374,99374.0,4.75
1995,579,699,854290,8542,Electronic Integrated Circuits (ICs / Chips),1.77,1770.0,0.058
1995,608,699,854290,8542,Electronic Integrated Circuits (ICs / Chips),11.88,11880.0,0.8
1995,702,699,854290,8542,Electronic Integrated Circuits (ICs / Chips),835.259,835259.0,35.363
1995,711,699,854290,8542,Electronic Integrated Circuits (ICs / Chips),1.467,1467.0,0.033
1995,752,699,854290,8542,Electronic Integrated Circuits (ICs / Chips),4.082,4082.0,0.175
1995,757,699,854290,8542,Electronic Integrated Circuits (ICs / Chips),17.461,17461.0,0.1
1995,764,699,854290,8542,Electronic Integrated Circuits (ICs / Chips),26.583,26583.0,0.418
1995,818,699,854290,8542,Electronic Integrated Circuits (ICs / Chips),20.996,20996.0,1.75
1995,826,699,854290,8542,Electronic Integrated Circuits (ICs / Chips),381.018,381018.0,16.326
1995,842,699,854290,8542,Electronic Integrated Circuits (ICs / Chips),3687.703,3687703.0,103.214
1996,36,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),164.466,164466.0,13.627
1996,40,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),25.343,25343.0,1.187
1996,58,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),2.485,2485.0,0.464
1996,76,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),7.869,7869.0,0.016
1996,156,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),12.848,12848.0,2.111
1996,203,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),160.559,160559.0,0.46
1996,208,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),208.912,208912.0,0.886
1996,246,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),73.268,73268.0,0.136
1996,251,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),83.06,83060.0,0.19
1996,276,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),1174.884,1174884.0,8.847
1996,344,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),58.131,58131.0,0.144
1996,380,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),259.188,259188.0,23.847
1996,392,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),1918.069,1918069.0,11.344
1996,410,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),76.872,76872.0,0.878
1996,458,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),116.865,116865.0,49.893
1996,490,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),44.813,44813.0,0.148
1996,528,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),19.762,19762.0,1.5
1996,608,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),3.275,3275.0,0.3
1996,643,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),15.429,15429.0,0.038
1996,702,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),200.593,200593.0,3.736
1996,752,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),1.094,1094.0,0.012
1996,757,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),432.827,432827.0,1.071
1996,826,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),132.345,132345.0,4.881
1996,842,699,381800,3818,Chemical Elements for Electronics (Doped Silicon Wafers etc.),814.746,814746.0,12.099
1996,36,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),32.408,32408.0,0.059
1996,40,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),330.537,330537.0,1.393
1996,58,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),1.533,1533.0,0.001
1996,124,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),53.599,53599.0,0.056  
1996,156,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),598.339,598339.0,15.754
1996,203,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),1.396,1396.0,
1996,208,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),1.024,1024.0,0.002
1996,246,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),3.862,3862.0,0.009
1996,251,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),1542.141,1542141.0,7.84
1996,276,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),1447.748,1447748.0,6.113
1996,344,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),5734.793,5734793.0,75.288
1996,348,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),4.748,4748.0,0.016
1996,372,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),38.279,38279.0,0.055
1996,376,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),31.501,31501.0,0.02
1996,380,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),88.288,88288.0,1.026
1996,392,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),9422.449,9422449.0,54.125
1996,408,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),2.742,2742.0,0.003
1996,410,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),1910.157,1910157.0,9.836
1996,458,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),1666.238,1666238.0,12.808
1996,484,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),1.011,1010.9999999999999,0.029
1996,490,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),5548.674,5548674.0,42.132
1996,512,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),0.91,910.0,0.796
1996,528,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),210.794,210794.0,0.634
1996,579,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),9.892,9892.0,0.024
1996,608,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),161.272,161272.0,2.478
1996,616,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),12.772,12772.0,0.674
1996,642,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),16.35,16350.000000000002,0.014
1996,643,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),11.33,11330.0,0.031
1996,682,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),3.373,3373.0,0.12
1996,702,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),26744.174,26744174.0,135.593
1996,711,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),18.168,18168.0,0.017
1996,724,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),18.79,18790.0,0.045
1996,752,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),135.448,135448.0,0.513
1996,757,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),183.17,183170.0,0.136
1996,764,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),424.411,424411.0,3.923
1996,784,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),24144.931,24144931.0,1.99
1996,792,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),10.211,10211.0,0.003
1996,804,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),11.28,11280.0,0.001
1996,826,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),1681.631,1681631.0,3.203
1996,842,699,854211,8542,Electronic Integrated Circuits (ICs / Chips),20362.423,20362423.0,65.738
1996,40,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),54.978,54978.0,0.024
1996,124,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),156.283,156283.0,0.035
1996,156,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),228.606,228606.0,0.667
1996,246,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),13.227,13227.0,0.001
1996,251,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),359.213,359213.0,0.66
1996,276,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),205.408,205408.0,2.634
1996,344,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),1045.256,1045256.0000000001,4.973
1996,372,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),2.455,2455.0,0.003
1996,376,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),9.818,9818.0,0.011
1996,380,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),23.317,23317.0,0.468
1996,392,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),3833.436,3833436.0,8.17
1996,410,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),582.561,582561.0,0.468
1996,458,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),177.628,177628.0,0.633
1996,490,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),620.194,620194.0,2.283
1996,554,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),3.7,3700.0,0.002
1996,579,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),9.919,9919.0,0.004
1996,608,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),14.191,14191.0,0.075
1996,643,699,854219,8542,Electronic Integrated Circuits (ICs / Chips),41.552,41552.0,0.02
